id,timestamp,source,taxonomy,quote,crosslab_component,status,severity
E001,2026-08-27T22:58:00Z,fear3-debug.md / Agent B CHAT,T-TOPOLOGY,CrossLab computed an implausible -255315000 ms clock offset because monotonic clocks do not share a cross-machine epoch,crosslab/transport/node.py (clock sync),fixed,high
E002,2026-08-27T22:58:00Z,fear3-debug.md / Agent B CHAT,T-TOPOLOGY,"my advertised endpoint is http://127.0.0.1:8766, so direct A-to-B callbacks will not be reachable across machines",crosslab/transport/node.py (peer registry / advertised URL),ux_gap,high
E003,2026-08-27T23:00:00Z,fear3-debug.md / Agent B CHAT,T-MCP,CrossLab stdio bridge returned JSON-RPC -32601 Method initialize not found for a standard MCP initialize request,crosslab/mcp/server.py,fixed,high
E004,2026-08-27T23:08:00Z,fear3-debug.md / Agent B CHAT,T-TRANSPORT,Agent B received the previously missed replies after installing upstream 062c24e and restarting the outbound SSE client,crosslab/transport/node.py (peer SSE),fixed,critical
E005,2026-08-27T23:10:00Z,fear3-debug.md / Agent B CHAT,T-SYNC,I will send READY only after verifying the local probe attachment; please do not START before that barrier signal,crosslab/protocol/actions.py (barrier),open,medium
E006,2026-08-27T23:11:00Z,fear3-debug.md / Agent B CHAT,T-TRANSPORT|T-OBS,monitor found an SSE delivery gap and recovered it by comparing the authoritative Host ledger against the local ledger; a one-minute thread heartbeat now performs that comparison continuously,crosslab/transport/node.py + agent workarounds,partial,critical
E007,2026-08-27T23:15:00Z,fear3-debug.md / Agent B CHAT,T-TRANSPORT,outbound SSE stream did not mirror it locally; messages ... are now backfilled into Agent B's ledger,crosslab/transport/node.py (/sync/reconcile),fixed,critical
E008,2026-08-27T23:20:00Z,fear3-debug.md / Agent B CHAT,T-SYNC,"FEAR 3 uses legacy 32-bit ISteamNetworking, not the modern flat SteamNetworkingSockets exports assumed by the bundled probe",crosslab/cases/fear3/probes/,fixed,medium
E009,2026-08-27T23:25:00Z,fear3-debug.md / PAUSE directive,T-SYNC|T-MCP|T-TRANSPORT,"formally PAUSED ... pivoting to hardening CrossLab ... reliability, transport, MCP, and synchronization issues ('Tools first, then the debug')",platform-wide,n/a,high
E010,2026-08-27T23:35:00Z,fear3-debug.md / Agent B hardening report,T-TRANSPORT,"reconciliation is capped at 500 while Storage.get_messages returns oldest-first, so ledgers over 500 can permanently omit newer messages",crosslab/engine/storage.py,fixed,critical
E011,2026-08-27T23:35:00Z,fear3-debug.md / Agent B hardening report,T-TRANSPORT,reconciled messages are stored but not broadcast to local SSE subscribers or action handlers,crosslab/transport/node.py,fixed,critical
E012,2026-08-27T23:35:00Z,fear3-debug.md / Agent B hardening report,T-TRANSPORT,initial handshake loop gives up permanently after 10 attempts,crosslab/transport/node.py,fixed,high
E013,2026-08-27T23:45:00Z,fear3-debug.md / Agent B,T-REPO,crosslab_fear3-debug.db-shm and .db-wal are tracked volatile SQLite files ... can obstruct pulls,.gitignore + session storage,fixed,medium
E014,2026-08-27T23:47:00Z,fear3-debug.md / Human Host,T-HUMAN,please instruct us on what human steps you need us to do in order to reproduce errors for you to fix,desktop/ + protocol (no runbook),open,medium
E015,2026-08-27T23:49:00Z,fear3-debug.md / UNPAUSE,T-HUMAN|T-SYNC,step-by-step reproduction instructions ... (1) Both humans at Main Menu; (2) Agents attach probes ... (5) Both humans observe and report any error dialog,protocol + desktop,open,medium
E016,2026-08-27T23:50:00Z,fear3-debug.md / Agent B,T-SYNC,Agent A supplied stale PID 5068; Machine B currently runs F.E.A.R. 3.exe PID 8076,crosslab/cases/fear3 (probe attach),open,medium
E017,2026-08-28T01:19:00Z,Codex 01a045f3 / user,T-MCP|T-CONTEXT,Do you have access to the Codetalker MCP?,crosslab/mcp/server.py + harness config,ux_gap,medium
E018,2026-08-28T01:20:00Z,Codex 01a045f3 / user,T-MCP,"could you work on installing it? It's installed in Opencode, Cursor and Antigravity ... mirror the verified MCP definition into Codex",CLI onboarding (missing),open,high
E019,2026-08-28T01:24:00Z,Codex 01a045f3 / user,T-CONTEXT,"look at the latest antigravity and then the latest opencode conversations, as well as the public Ickleslimer/Crosslab github repo",crosslab_get_transcript + session manifest (partial),ux_gap,medium
E020,2026-08-28T03:32:00Z,Codex 01a045f3 / heartbeat automation,T-AGENT-ATTN|T-TRANSPORT,"Poll http://127.0.0.1:8765/v1/a2a/messages?limit=20 ... If new evidence exists, summarize it visibly and send/relay an appropriate A2A acknowledgement",crosslab/agent/watcher.py + REST /messages,open,critical
E021,2026-08-31T12:41:00Z,OpenCode ses_fba270 prompt history,T-AGENT-ATTN,"Can you keep the polling going unless told to stop? Feel free to use a backoff, however.",crosslab/agent/watcher.py,open,high
E022,2026-08-31T12:41:00Z,OpenCode ses_fba270 prompt history,T-AGENT-ATTN|T-CONTEXT,agent now on 5%. Handover imminent ... take over from Antigravity ... read as much context as you can,session manifest + CodeTalker dependency,open,high
E023,2026-08-31T12:41:00Z,OpenCode ses_fba270 prompt history,T-AGENT-ATTN,"When running, remember either not to end the turn or to set continual wakeup reminders to recheck for messages from Agent B",harness turn model + watcher,open,critical
E024,2026-09-02T00:08:00Z,Antigravity 28a6fca6 / schedule tool,T-AGENT-ATTN|T-TRANSPORT,"Timer: 60s, Prompt: Poll CrossLab A2A messages on port 8765 for Agent B response",crosslab/agent/watcher.py,open,critical
